#Material,Non Alcoholic Drink Name,Alcoholic Drink Name,PotionEffect,Flavor,Rariry,Red,Green,Blue
NETHER_WART,Nether Broth,Nether Cocktail,WATER_BREATHING,bitter,COMMON,191,0,26
OAK_LEAVES,Oak Tea,Oak Kombucha,SPEED,vanilla and fresh,COMMON,34,97,30
OAK_SAPLING,Oak Tisane,Oak Cocktail,HEAL,vanilla and woody,COMMON,186,155,87
ORANGE_TULIP,Orange Tulip Tea,Orange Tulip Cocktail,HEALTH_BOOST,tobacco and floral,RARE,241,128,60
OXEYE_DAISY,Daisy Tea,Daisy Cocktail,INVISIBILITY,peppery and floral,COMMON,255,254,235
PEONY,Peony Tea,Peony Cocktail,DAMAGE_RESISTANCE,sweet and floral,RARE,255,216,241
PINK_TULIP,Pink Tulip Tea,Pink Tulip Cocktail,FAST_DIGGING,cloying and floral,COMMON,255,173,226
POISONOUS_POTATO,Potato Mash,Whisky,BAD_OMEN,bitter and sickly,COMMON,214,255,8
POPPED_CHORUS_FRUIT,Light Chorus Juice,Chorus Cocktail,JUMP,chalky,COMMON,251,212,255
POPPY,Poppy Tea,Poppy Kombucha,INCREASE_DAMAGE,nutty and floral,COMMON,204,9,6
POTATO,Potato Stew,Vodka,HEALTH_BOOST,starchy,COMMON,161,146,76
PRISMARINE_CRYSTAL,Light Prismarine Tonic,Light Prismarine Tincture,CONDUIT_POWER,fishy and sparkling,RARE,167,250,220
PRISMARINE_SHARD,Dark Prismarine Tonic,Dark Prismarine Tincture,DOLPHINS_GRACE,fishy and sharp,RARE,101,207,168
PUMPKIN,Pumpkin Juice,Pumpkin Cider,NIGHT_VISION,sweet and nutty,COMMON,238,114,38
PUMPKIN_SEED,Pumpkin Tea,Pumpkin Kobucha,SPEED,salty and nutty,RARE,255,227,166
PUFFERFISH,Pufferfish Soup,Pufferfish Srew,BAD_OMEN,tingly and fresh,RARE,247,230,230
QUARTZ,Quartz Mineral Water,Quartz Tincture,HEALTH_BOOST,milky and sharp,COMMON,245,241,239
RABBIT_FOOT,Rabbit Broth,Rabbit Stew,JUMP,gamey,RARE,194,124,109
RAW_CHICKEN,Chicken Broth,Chicken Stew,JUMP,cool and meaty,COMMON,194,124,109
RAW_COD,Cod Broth,Code Stew,WATER_BREATHING,milky and sweet,COMMON,255,238,222
RAW_SALMON,Salmon Broth,Salmon Stew,DOLPHINS_GRACE,buttery and robust,COMMON,255,130,92
RAW_TROPICAL_FISH,Tropical Fish Broth,Tropical Fish Stew,CONDUIT_POWER,fishy,COMMON,0,17,255
RAW_PORKCHOP,Pork Broth,Pork Stew,INCREASE_DAMAGE,gamey and umami,COMMON,194,124,109
RED_MUSHROOM,Dark Mushroom Broth,Dark Mushroom Stew,REGENERATION,bitter and umami,COMMON,163,0,0
RED_TULIP,Red Tulip Tea,Red Tulip Kombucha,HEAL,spicy and floral,RARE,243,82,45
REDSTONE,Energy Drink,Hard Energy Drink,DAMAGE_RESISTANCE,metallic and sharp,COMMON,255,48,0
ROSE_BUSH,Rose Tea,Rose Cocktail,HEAL,fruity and floral,COMMON,199,41,4
ROTTEN_FLESH,Zombie Broth,Zombie Cocktail,BAD_OMEN,rancid,COMMON,115,113,55
SLIME_BALL,Slime Tincture,Slime Cocktail,DAMAGE_RESISTANCE,gooey,COMMON,134,243,45
SNOW_BALL,Cold Tonic,Snowy Cocktail,FIRE_RESISTANCE,frosty,COMMON,216,239,240
SPIDER_EYE,Spider Broth,Spider Cocktail,INCREASE_DAMAGE,salty and umami,COMMON,84,14,39
SPRUCE_LEAVES,Spruce Tea,Spruce Kombucha,INCREASE_DAMAGE,citrus and fresh,COMMON,31,68,12
SPRUCE_SAPLING,Spruce Tisane,Spruce Cocktail,INCREASE_DAMAGE,citrus and woody,COMMON,97,153,97
SUGAR,Soda,Hard Soda,SPEED,sweet,COMMON,245,243,232
SUGARCANE,Molassass,Rum,SPEED,sweet and grassy,COMMON,236,255,204
SUNFLOWER,Sunflower Tea,Sunflower Cocktail,FAST_DIGGING,bright and floral,COMMON,247,223,31
SEAGRASS,Steam Malt,Steam Beer,CONDUIT_POWER,fishy and grassy,COMMON,20,128,63
VINES,Stewed Greens,Green Draguht,NIGHT_VISION,herbacious and crisp,COMMON,0,196,78
WHEAT,Wheat Malt,Beer,INCREASE_DAMAGE,malty,COMMON,252,226,76
WHITE_TULIP,White Tulip Tea,White Tulip Kombucha,INCREASE_DAMAGE,cool and floral,RARE,255,253,245
WITHER_ROSE,Wither Tea,Wither Draught,BAD_OMEN,ashy,RARE,67,14,0
